custom_id,id,upc,brand,groupname,title,price,shelfdescr,shortdescr,longdescr,modelno,shipweight,dimensions
41,13213404,71706892402.0,Da-Lite,Electronics - General,Da-Lite 93163 Model B Manual Wall and Ceiling Projection Screen,149.88,Manual projection screen  Wall or ceiling mount  Seamless,The Da-Lite 93163 Model B Manual Wall and Ceiling Projection Screen is perfect for classroom and meeting room facilities. Easy pull-down system locks at intervals to fit a variety of projection formats. Nylon bearings provide smooth quiet operation for the life of the screen.,Manual projection screen  Wall or ceiling mount  Seamless  Easy pull-down system locks at intervals  Nylon bearings for smooth quiet operation,93163,24.0,83.7 x 4.5 x 4.5 inches
52,15066767,7891038540.0,Wilson Jones,Stationery &amp; Office Machinery,Wilson Jones D-Ring Vinyl View Binder,16.4,Print-Won t-Stick covers Special No-Gap D-ring design keeps rings tightly closed without gaps,Special No-Gap D-ring design keeps rings tightly closed without gaps. D-rings hold 40 percent more sheets than same size round rings. Ink and toner transfer from printed papers is a thing of the past with these high-quality Print-Won t-Stick covers. Make your own custom front cover and spine inserts quickly and easily using templates found at www.templates.wilsonjones.com. PVC-free.,Wilson Jones D-Ring Vinyl View Binder Heavy-duty D-ring view binder with No-Gap rings and Print-Won t-Stick covers Special No-Gap D-ring design keeps rings tightly closed without gaps D-rings hold 40 percent more sheets than same size round rings Ink and toner transfer from printed papers is a thing of the past with these high-quality Print-Won t-Stick covers Make your own custom front cover and spine inserts quickly and easily using templates found at www.templates.wilsonjones.com Two inside pockets for storing additional loose documents PVC-free PVC-free,38544B,1.177,
57,15539734,65297720980.0,Edge Tech,USB Drives,EDGE Tech ProShot 4GB SDHC Class 6 Memory Card,10.88,Storage capacity 4GB Technology flash Form factor Secure Digital High Capacity SDHC,Store pictures videos and more with EDGE Tech SDHC Memory Cards. These cards are compatible with many digital cameras camcorders PDAs and more. Use EDGE Tech SDHC Memory Cards to easily transfer data from cameras to PCs and more.,EDGE Tech ProShot 4GB SDHC Class 6 Memory Card Storage capacity 4GB Technology flash Form factor Secure Digital High Capacity SDHC Compatible with PCs digital cameras PDAs and more,PE209780,0.05,1.25 x 0.94 x 0.08 inches
61,14251424,64109214878.0,Draper,Electronics - General,Draper M2500 Clarion Fixed Frame Screen - 124 x 124 diagonal AV Format,1883.99,Clarion permanently tensioned projection screen. Viewing surface is flat for perfect picture quality. Viewing surface is stretched tightly behind a beveled black aluminum frame. New design for quick assembly and flatter viewing surface--no snaps Z-Clip wall mounting brackets included to simplify installation. Features -Now available in 16 10 and 15 9 laptop presentation formats.-Viewing surface is flat and that means perfect picture quality..-The Clarion s aluminum frame forms an attractive 2 border for a clean theatre-like appearance..-Switch instantly between two projection formats with the optional Eclipse Masking System..-The fabric attaches to the frame without snaps or tools forming a perfectly smooth viewing surface..-Z-Clip wall mounting brackets included to simplify installation..-Standard black frame may be covered with velvety black Vel-Tex which virtually eliminates all reflections on the frame..-Depending on surface available in sizes through 10 x 10 or 120 x 120 or 15 NTSC..-Custom sizes available..-Warranted for one year against defects in materials and workmanship.. Screen Material M2500 Higher gain surface provides good black retention with accurate light colors and whites. M2500 is black-backed and tolerates a higher ambient light level in the audience area than many front projection screen surfaces. On-axis gain of 1.5.,,DR7452Clarion permanently tensioned projection screen. Viewing surface is flat for perfect picture quality. Viewing surface is stretched tightly behind a beveled black aluminum frame. New design for quick assembly and flatter viewing surface--no snaps Z-Clip wall mounting brackets included to simplify installation.   Features Now available in 16 10 and 15 9 laptop presentation formats Viewing surface is flat and that means perfect picture quality. The Clarion s aluminum frame forms an attractive 2 border for a clean theatre-like appearance. Switch instantly between two projection formats with the optional Eclipse Masking System. The fabric attaches to the frame without snaps or tools forming a perfectly smooth viewing surface. Z-Clip wall mounting brackets included to simplify installation. Standard black frame may be covered with velvety black Vel-Tex which virtually eliminates all reflections on the frame. Depending on surface available in sizes through 10 x 10 or 120 x 120 or 15 NTSC. Custom sizes available. Warranted for one year against defects in materials and workmanship.    Screen Material M2500  Higher gain surface provides good black retention with accurate light colors and whites. M2500 is black-backed and tolerates a higher ambient light level in the audience area than many front projection screen surfaces. On-axis gain of 1.5.,252031,82.0,
62,13215633,73535382024.0,Kensington,Furniture,Kensington 82024 Memory Foam Seat Backrests,29.88,Seat Rest  Features Washable  Color Black,High-density memory cells in Visco elastic foam help relieve back discomfort. Temperature and pressure sensitive foam molds to the body s contour and provides maximum support. Originally developed by NASA to relieve astronauts of G-Force experience during takeoff.,Seat Rest  Features Washable  Color Black,82024,2.64,14.4 x 14.4 x 1.8 inches
63,16419514,84316308862.0,BLACKBERRY,Electronics - General,BlackBerry Leather Sleeve for PlayBook Tablet Black,29.88,Premium grade leather Exceptional protection Charge or listen to music with distinctive style,Crafted in premium grade leather the BlackBerry Leather Sleeve offers exceptional protection and distinctive style for your BlackBerry PlayBook tablet. And with external access to the Micro USB and media ports you can charge the battery or listen to music while your BlackBerry tablet stays safe inside.,BlackBerry Leather Sleeve for PlayBook Premium grade leather Exceptional protection Charge or listen to music with distinctive style Reinforced panels for an extra layer of protection,ACC-39311-301,0.9,7.6 x 5.1 x 0.4 inches
70,11099883,77859700610.0,Lorex,Garden - General,Lorex Simulated Bullet Style Surveillance Camera,12.84,IR LEDs for authentic look and feel Metal body construction for durability Ideal for indoor or outdoor applications Includes mounting bracket and cable,Lorex Simulated Bullet Style Surveillance Camera,IR LEDs for authentic look and feel Metal body construction for durability Ideal for indoor or outdoor applications Includes mounting bracket and cable,SG-610,1.24,3.8 x 3.8 x 3.8 inches
71,6497801,3798826153.0,Panasonic,Electronics - General,Panasonic Stereo Earbud Headphones RP-HV21 Green,10.49,Elastomer materials ensure you of a comfortable fit.,Elastomer materials ensure you of a comfortable fit. Neodymium rare-earth magnets are used in each driver for rich powerful sound. The rubber clip design provides tangle-free storage.,,RPHV21G,0.88,
72,13020928,1380303847.0,Canon,Printers,Canon FaxPhone L170 Laser Printer   Fax,269.0,ENERGY STAR-qualified  PC-compatible  Prints at speeds up to 19 pages per minute   USB 2.0 port,ENERGY STAR     Products that are ENERGY STAR-qualified prevent greenhouse gas emissions by meeting strict energy efficiency guidelines set by the U.S. Environmental Protection Agency and the U.S. Department of Energy. The ENERGY STAR name and marks are registered marks owned by the U.S. government as part of their energy efficiency and environmental activities. The Canon Laser FaxPhone L170 with 33.6Kbps modem gives you the performance of a laser facsimile machine and a printer. It prints 19 pages per minute and faxes a page in 3 seconds. It s Windows- compatible as well as Energy Star-qualified.,Printer    Print Color Monochrome  Print Technology Laser  Maximum Mono Print Speed 19 ppm  Maximum Print Resolution 600 x 600 dpi    Fax   Fax Color Monochrome Transmission Speed 3 seconds per page  Modem Speed 33.6Kbps  Fax Memory Capacity 7.2MB memory holds 450 pages Fax Resolution 406 x 391 dpi Ultra Fine Mode 203 x 391 dpi Superfine Mode 203 x 196 dpi Fine Mode 203 x 98 dpi Standard Mode 32 Speed Dials and 100 Coded Speed Dials  Fax Compliant Super G3  Media Type Plain Paper  Media Size A4 letter legal    Additional Features   Interface USB 2.0 USB   Media Handling 250-sheet cassette 50-sheet automatic document feeder  Cartridge 104 standard black toner included Includes telephone handset  Compatible with Windows computers  Energy Star-compliant,L170,31.3,22.0 x 19.3 x 18.7 inches
73,13037946,8589662816.0,Kensington,Electronics - General,Kensington K62816US Memory Foam Mouse Wrist Pillow,13.98,Kensington K62816US Memory Foam Mouse Wrist Pillow  Provides maximum support to help relieve wrist discomfort  Black lycra cover repels sweat and dirt,Memory foam viscoelastic provides maximum support to help relieve wrist discomfort. Rigid non-skid base keeps wrist rest firmly in place while the black lycra cover repels sweat and dirt to stay soft. Wide enough to provide comfortable support for keyboard and numeric pad and hypoallergenic comfort for sensitive skin.,Hypoallergenic  Black Lycra Cover  Temperature and pressure-sensitive foam  Works with all keyboard widths and styles,K62816US,0.85,9.0 x 7.92 x 0.99 inches
76,13219878,65297721943.0,EDGE,Memory,EDGE 2GB PC3-8500 DDR3 204-Pin SODIMM Notebook Memory Module,22.92,Highest quality memory available lifetime warranty and double tested to ensure compatibility,All RAM modules from EDGE are backed by a Lifetime Warranty and each is individually tested to ensure highest product quality and reliability. If your memory module ever fails to work perfectly due to defects in materials or workmanship EDGE will repair or replace it at no charge.,All RAM modules from EDGE are backed by a Lifetime Warranty and each is Individually Tested to ensure highest product quality and reliability. Our Friendly and Knowledgeable technical support team is available Toll-Free should you have any questions or problems with your memory upgrade. If your memory module ever fails to work perfectly due to defects in materials or workmanship EDGE will repair or replace it at no charge. We offer FREE Shipping on all memory orders over 50 EDGE is an ISO 9001 2000 Certified Company and has been selling memory since 1986,PE219413,0.25,9.0 x 6.0 x 3.0 inches
77,14249426,64109210223.0,Draper,Electronics - General,Draper M2500 Premier Electric Screen  - AV Format 7 x 9,1793.45,Premier electric wall or ceiling projection screen. Draper s Tab-Tensioning System holds the surface taut and wrinkle-free. Delivers outstanding picture quality. Projected image is framed by standard black masking borders at sides. Motor-in-roller is mounted on special vibration insulators so it operates smoothly and silently. Features -Now available in 16 10 and 15 9 laptop presentation formats.-Available with a ceiling trim kit for ceiling recessed installation..-12 black drop is standard..-Black case with matching endcaps..-Depending on surface available in sizes through 14 x 14 and 12 x 16 230  NTSC and 230  or 20 HDTV. See charts below for details..-With control options it can be operated from any remote location..-Custom sizes available..-Warranted for one year against defects in materials and workmanship..-Plug   Accessories section below.. Screen Material M2500 Higher gain surface provides good black retention with accurate light colors and whites. M2500 is black-backed and tolerates a higher ambient light level in the audience area than many front projection screen surfaces. On-axis gain of 1.5.,,DR3674Premier electric wall or ceiling projection screen. Draper s Tab-Tensioning System holds the surface taut and wrinkle-free. Delivers outstanding picture quality. Projected image is framed by standard black masking borders at sides. Motor-in-roller is mounted on special vibration insulators so it operates smoothly and silently.   Features Now available in 16 10 and 15 9 laptop presentation formats Available with a ceiling trim kit for ceiling recessed installation. 12 black drop is standard. Black case with matching endcaps. Depending on surface available in sizes through 14 x 14 and 12 x 16 230 NTSC and 230 or 20 HDTV. See charts below for details. With control options it can be operated from any remote location. Custom sizes available. Warranted for one year against defects in materials and workmanship. Plug   Accessories section below.    Screen Material M2500  Higher gain surface provides good black retention with accurate light colors and whites. M2500 is black-backed and tolerates a higher ambient light level in the audience area than many front projection screen surfaces. On-axis gain of 1.5.,101198,86.0,
79,14247841,8585419967.0,Case Logic,Electronics - General,Case Logic 18  Laptop Case,39.99,Case Logic 18   - A quick access secure place to put valuables watch keys cell phone etc. prior to passing through airport security Luggage strap securely attaches briefcase to most rolling luggage Adjustable shoulder strap and comfortable fully-padded handles Pocket on inside of laptop case stores files folders and other small items Available in Asia Pacific Europe Latin America US,,Product Material Dobby Nylon   Product Weight 2.24 lbs.   Laptop Compartment Dimensions 17.8   - A quick access secure place to put valuables watch keys cell phone etc. prior to passing through airport security  Luggage strap securely attaches briefcase to most rolling luggage  Adjustable shoulder strap and comfortable fully-padded handles  Pocket on inside of laptop case stores files folders and other small items  Available in Asia Pacific Europe Latin America US,147735,2.24,19.3 x 14.2 x 3.9 inches
84,17128654,3399103265.0,Scosche,Car Stereos,Scosche Full Range Speaker System with Two 6.5  Woofers,0.0,300W 100W rated Includes a matched pair of 6.5  woofers Oversized 15 oz strontium magnets,The Scosche Full Range Speaker System with Two 6.5  Woofers features oversized 15-ounce magnets.,Scosche Full Range Speaker System with Two 6.5  woofers Oversized 15 oz strontium magnets Woofers Injection molded polypropylene cones Dual high output horn tweeters Durable MDF enclosure with carpet and vinyl covering 300W 100 rated Spring loaded speaker terminals,HDFRB6,,24.0 x 9.0 x 7.0 inches
86,16621230,2724282534.0,Sony,USB Drives,Sony 2GB MS Pro Duo Mark2,14.88,Storage Capacity 2GB Memory Stick Pro Duo,Sony 2GB MS Pro Duo media gives your customers a convenient way to backup and store digital videos and still images.,Sony 2GB MS Pro Duo Mark2 Technical Information  Storage Capacity   2GB  Memory Card Quantity   1 x 2GB  Physical Characteristics  Form Factor   Memory Stick MS,MSMT2G/TQ,1.0,6.1 x 4.9 x 0.4 inches
87,16904392,63575348625.0,Samsung,Electronics - General,Samsung 33-0525-05 Samsung Fasciante i500 OEM Multimedia Dock,29.88,Charging dock Picture frame mode Access applications when docked,The Samsung 33-0525-05 Samsung Fasciante i500 OEM Multimedia Dock allows you to access applications while it is docked.,Samsung 33-0525-05 Samsung Fasciante i500 OEM Multimedia Dock Charging dock Picture frame mode Access applications when docked Perfect for multimedia viewing 3.5mm audio out,33-0525-05,0.4,6.25 x 3.9 x 2.75 inches
89,14917719,70367332500.0,Balt,Stationery &amp; Office Machinery,BALT Wheasel Easel Adjustable Melamine Dry Erase Board White,239.88,2  locking casters Unframed dry erase surface Adjustable height,Take a dry erase board wherever its needed with the BALT Wheasel Easel Adjustable Melamine Dry Erase Board. This presentation board has 2 inch locking casters. Each side has an unframed melamine dry erase surface marker tray and flip chart holders. Th BALT Wheasel Easel Adjustable Melamine Dry Erase Board easel frame adjusts from 58 to 65 inches high. It includes a convenient supply shelf.,BALT Wheasel Easel Adjustable Melamine Dry Erase Board White 2 H Unframed dry erase surface Marker trays Flip chart holders Supply shelf,33250,51.0,
92,15141018,71706892906.0,Da-Lite,Electronics - General,Da-Lite Deluxe Anti-Sway Brace For Fast Fold Deluxe Screens,132.99,Deluxe Anti-Sway Brace increases lateral stability for Deluxe Fast Fold Screens over 14 Wide. Features -Price is per pair -Attaches using hook clamps sold separately,,DL1623Deluxe Anti-Sway Brace increases lateral stability for Deluxe Fast Fold Screens over 14 Wide. Features Price is per pair Attaches using hook clamps sold separately,93605,10.0,
96,15412329,88496266005.0,HP,Printers,HP CE505XD Black LaserJet Print Cartridges 2pk,258.84,2 print cartridges Color black Printing technology LaserJet,Get a great value for everyday business printing with HP LaserJet Print Cartridges. These print cartridges will save you time minimize downtime and deliver results you can count on. Produce bold crisp text and sharp black-and-white images every time you print. This easy-to-use HP LaserJet print cartridge is designed for trouble-free printing and convenient free recycling through the HP Planet Partners program.,HP CE505XD Black LaserJet Print Cartridges 2pk 2 print cartridges Color black Printing technology LaserJet Compatibility PC Page yield about 6500 standard pages,HP CE505XD,5.75,1.0 x 1.0 x 1.0 inches
98,15701639,9305381543.0,LaCie,Electronics - General,LaCie FireWire 800 ExpressCard 34,45.0,Add 2 FireWire 800 ports to your laptop Compatible with FireWire 400 products Transfer rates up to 800Mb s,Affordably upgrade your Mac or PC laptop to fast FireWire 800 connectivity which offers a rapid maximum interface transfer rate of up to 800Mbs s. Just plug the card into your computer s ExpressCard 34 or 54 slot and you ll have two external ports for connecting up to two FireWire devices simultaneously. It s backward compatible with FireWire 400 and perfect for connecting your laptop to your favorite peripherals such as LaCie hard disks CD DVD drives cameras scanners printers etc. It s easy to install and use since it supports hardware hot plugging unplugging.,LaCie FireWire 800 ExpressCard 34 Add 2 FireWire 800 ports to your laptop Features the Texas InstrumentsSM chipset Transfer rates up to 800Mb s Compatible with FireWire 400 products Plug and play driver free and hot pluggable System requirements Windows XP Vista 7 and Mac OS X 10.5 10.6,LAC130992,0.26,8.2 x 6.8 x 1.1 inches
99,15750066,70538110958.0,Encore Software,Software,Mortimer Beckett Time Paradox Jewel Case,7.82,Travel through 8 different eras Solve puzzles and collect items Adventure game,Mortimer Beckett s back for an all-new eye-popping adventure in Mortimer Beckett Time Paradox. Although Mortimer was able to get rid of the ghosts in his last outing his Uncle Jerome s home is now host to another ominous challenge - a time portal Even worse the Time Bomb that Jerome built to close the portal has been scattered across eight different eras Join Mortimer for a wild trip to find the scattered Time Bomb put it back together and close the portal before it s too late,Mortimer Beckett Time Paradox Jewel Case Travel through 8 different eras Solve puzzles and collect items Adventure game,10958,0.1,5.7 x 5.1 x 0.6 inches
